platform,set,component,tags,description,use1_title,use1_detect,use1_decide,use1_do,use1_image_url,use2_title,use2_detect,use2_decide,use2_do,use2_image_url,parts,component_image_url,code1_label,code1,code2_label,code2,code3_label,code3,note,wiring,wiring_image_url,quick_reference,github_url
"Raspberry Pi / Pico","Pete","Button","Detect, Press","A button lets your project notice when someone presses something.
Inside the button are tiny metal contacts. Pressing the cap joins the contacts together, closing the circuit.
Your projects can use a button to start actions, choose modes, confirm choices, or act like a simple controller.","Doorbell trigger","Button is pressed","Press is new","Play chime","https://github.com/raspberrypilearning/skills-bricks/blob/master/Button-Pete/images/doorbell-trigger.png","Pet rock applause","Applause button press","Rock needs praise","Play tiny applause","https://github.com/raspberrypilearning/skills-bricks/blob/master/Button-Pete/images/pet-rock-applause.png","Cap: Press here; Contacts: Close circuit; Legs: Four pins; Body: Sits on board","https://github.com/raspberrypilearning/skills-bricks/blob/master/Button-Pete/images/component-button.png","Raspberry Pi","from gpiozero import Button

button = Button(17)

pressed = button.is_pressed","Raspberry Pi Pico","from picozero import Button

button = Button(2)

pressed = button.is_pressed","","","Use button.is_pressed or button.when_pressed when your project needs to react to a press.","GPIO 17 -> one button leg | opposite leg -> GND | GP2 -> one button leg | opposite leg -> GND","","","https://github.com/raspberrypilearning/skills-bricks/blob/master/Button-Pete/button-skill-brick.html"
"Raspberry Pi / Pico","Pete","Buzzer","Do, Sound","A buzzer lets your project make a simple sound.
Some buzzers just turn on and off, while others can make different tones.
Your projects can use buzzers for alarms, timers, games, tiny celebrations, and noisy mistakes.","Countdown timer","Timer reaches zero","Time is up","Beep buzzer","https://github.com/raspberrypilearning/skills-bricks/blob/master/Buzzer-Pete/images/countdown-timer.png","Sock finder siren","Lost sock button pressed","Search mode begins","Buzz dramatically","https://github.com/raspberrypilearning/skills-bricks/blob/master/Buzzer-Pete/images/sock-finder-siren.png","+: Signal; -: Ground; Hole: Sound comes out; Case: Holds disc","https://github.com/raspberrypilearning/skills-bricks/blob/master/Buzzer-Pete/images/component-buzzer.png","Raspberry Pi","from gpiozero import Buzzer

buzzer = Buzzer(17)

buzzer.beep()","Raspberry Pi Pico","from picozero import Buzzer

buzzer = Buzzer(2)

buzzer.beep()","","","Use buzzer.on() , buzzer.off() , or buzzer.beep() after a Detect brick spots something.","+ pin -> GPIO 17 | - pin -> GND | + pin -> GP2 | - pin -> GND","","","https://github.com/raspberrypilearning/skills-bricks/blob/master/Buzzer-Pete/buzzer-skill-brick.html"
"Raspberry Pi / Pico","Pete","Capacitive Touch Sensor","Detect, Touch","A capacitive touch sensor lets your project detect a gentle finger touch.
It senses a tiny change in electricity around its touch pad, a bit like the screen on a phone or tablet.
Your projects can use touch to make hidden buttons, magic switches, musical pads, or secret controls.","Touch lamp switch","Finger touches pad","Lamp should change","Toggle light","https://github.com/raspberrypilearning/skills-bricks/blob/master/Capacitive_Touch-Pete/images/touch-lamp-switch.png","Secret banana piano","Banana key touched","Banana note chosen","Play squeaky tune","https://github.com/raspberrypilearning/skills-bricks/blob/master/Capacitive_Touch-Pete/images/secret-banana-piano.png","Pad: Touch area; OUT: Touch signal; VCC: Power; GND: Ground","https://github.com/raspberrypilearning/skills-bricks/blob/master/Capacitive_Touch-Pete/images/component-capacitive-touch.svg","Raspberry Pi","from gpiozero import DigitalInputDevice

touch = DigitalInputDevice(
    17,
    pull_up=False
)

touched = touch.is_active","Raspberry Pi Pico","from picozero import TouchSensor

touch = TouchSensor(2)

touched = touch.is_touched","","","Use touch.is_active on Raspberry Pi or touch.is_touched on Pico when your project needs to react to touch.","VCC -> 3V3 | GND -> GND | OUT -> GPIO 17 | VCC -> 3V3 | GND -> GND | OUT -> GP2","","","https://github.com/raspberrypilearning/skills-bricks/blob/master/Capacitive_Touch-Pete/capacitive-touch-skill-brick.html"
"Raspberry Pi / Pico","Pete","LDR","Detect, Light","An LDR helps your project notice light and dark.
LDR stands for light-dependent resistor. Its reading changes when more or less light hits it.
Your projects can use an LDR to react to shadows, lamps, daylight, or secret hand waves.","Night light","Room gets dark","Light level is low","Turn lamp on","https://github.com/raspberrypilearning/skills-bricks/blob/master/LDR-Pete/images/night-light.png","Shadow snack machine","Hand shadow appears","Shadow trap triggered","Make crunch sound","https://github.com/raspberrypilearning/skills-bricks/blob/master/LDR-Pete/images/shadow-snack-machine.png","Face: Detects light; Track: Changes resistance; Leg 1: No polarity; Leg 2: No polarity","https://github.com/raspberrypilearning/skills-bricks/blob/master/LDR-Pete/images/component-ldr.png","Raspberry Pi","from gpiozero import LightSensor

ldr = LightSensor(17)

light = ldr.light_detected","Raspberry Pi Pico","from machine import ADC

ldr = ADC(26)

light_level = ldr.read_u16()","","","Use light or light_level when your project needs to react to light.","LDR and capacitor/resistor circuit -> GPIO 17 | other side -> 3V3/GND as drawn | Voltage divider signal -> ADC GP26 | ends -> 3V3 and GND","","","https://github.com/raspberrypilearning/skills-bricks/blob/master/LDR-Pete/ldr-skill-brick.html"
"Raspberry Pi / Pico","MrC","LDR","Detect, Level","An LDR is a light sensor that tells your project how bright or dark it is.
LDR stands for light dependent resistor. Its resistance changes when more or less light falls on the sensor face.
Your projects can use an LDR to react to sunshine, shadows, daylight, or darkness.","Automatic night light","Room light level","Room is dark","Turn on lamp","https://github.com/raspberrypilearning/skills-bricks/blob/master/LDR/automatic-night-light.png","Greenhouse grow light","Plant light level","Plants are too shaded","Turn on grow light","https://github.com/raspberrypilearning/skills-bricks/blob/master/LDR/greenhouse-grow-light.png","Sensor face: Detects light; Track: Changes resistance; Legs: Connect to circuit","https://github.com/raspberrypilearning/skills-bricks/blob/master/LDR/ldr.png","Raspberry Pi","from gpiozero import LightSensor

ldr = LightSensor(18)

brightness = ldr.value","Raspberry Pi Pico","from machine import ADC, Pin

ldr = ADC(Pin(26))

brightness = ldr.read_u16()","","","Use brightness later in your Decide code to react to light or darkness. On Raspberry Pi, LightSensor uses an LDR and a capacitor. On Pico, use the LDR in a voltage divider with a fixed resistor.","3V3 -> LDR -> GPIO 18 | GPIO 18 -> 1 uF capacitor -> GND | 3V3 -> LDR -> GP26 | GP26 -> 10k resistor -> GND","","","https://github.com/raspberrypilearning/skills-bricks/blob/master/LDR/ldr-skill-brick.html"
"Raspberry Pi / Pico","Pete","LED","Do, Light","An LED is a tiny light that your code can switch on, switch off, or blink.
LED stands for light-emitting diode. It glows when electricity flows the right way through it, so the long leg and short leg matter.
Your projects can use LEDs to show warnings, celebrate events, or tell people what is happening.","Mini traffic light","Timer reaches stop point","Cars must stop now","Turn on red LED","https://github.com/raspberrypilearning/skills-bricks/blob/master/LED-Pete/images/mini-traffic-light.png","Do not turn me off box","Light is off","Random wait is over","Turn LED back on","https://github.com/raspberrypilearning/skills-bricks/blob/master/LED-Pete/images/do-not-turn-me-off-box.png","Anode: Long leg; Cathode: Short leg; Lens: Glows here","https://github.com/raspberrypilearning/skills-bricks/blob/master/LED-Pete/images/component-led.png","Raspberry Pi","from gpiozero import LED

led = LED(17)

led.on()","Raspberry Pi Pico","from picozero import LED

led = LED(2)

led.on()","","","Use led.on() , led.off() , or led.blink() after a Detect brick spots something.","GPIO 17 -> resistor -> LED anode | LED cathode -> GND | GP2 -> resistor -> LED anode | LED cathode -> GND","","","https://github.com/raspberrypilearning/skills-bricks/blob/master/LED-Pete/led-skill-brick.html"
"Raspberry Pi / Pico","MrC","LED","Do, Light","An LED is a tiny light that your code can switch on, switch off, or blink.
LED stands for light-emitting diode. It glows when electricity flows the right way through it, so the long leg and short leg matter.
Your projects can use LEDs to show warnings, celebrate events, or tell people what is happening.","Mini traffic light","Timer reaches stop point","Cars must stop now","Turn on red LED","","Motion sensor light","Movement near the sensor","Someone has arrived","Turn on the LED","","Anode: Long leg; Cathode: Short leg; Lens: Glows here","https://github.com/raspberrypilearning/skills-bricks/blob/master/LED/component-led.png","Raspberry Pi","from gpiozero import LED

led = LED(17)

led.on()","Raspberry Pi Pico","from picozero import LED

led = LED(2)

led.on()","","","Use led.on() , led.off() , or led.blink() later in your Do code.","GPIO 17 -> resistor -> LED anode | LED cathode -> GND | GP2 -> resistor -> LED anode | LED cathode -> GND","","","https://github.com/raspberrypilearning/skills-bricks/blob/master/LED/led-skill-brick.html"
"Raspberry Pi / Pico","Pete","Line Sensor","Detect, Line","A line sensor helps your project notice dark and light marks underneath it.
It shines infrared light down and checks how much bounces back from the surface.
Your projects can use line sensors for robots, edge finding, counters, and secret floor maps.","Line-following robot","Sensor sees line","Line is under robot","Steer robot","https://github.com/raspberrypilearning/skills-bricks/blob/master/Line_Sensor-Pete/images/line-following-robot.png","Secret floor rune","Dark mark appears","Mark has been found","Unlock secret route","https://github.com/raspberrypilearning/skills-bricks/blob/master/Line_Sensor-Pete/images/secret-floor-rune.png","Emitter: Sends IR; Receiver: Reads reflection; OUT: Signal pin; VCC/GND: Power pins","https://github.com/raspberrypilearning/skills-bricks/blob/master/Line_Sensor-Pete/images/component-line-sensor.svg","Raspberry Pi","from gpiozero import LineSensor

sensor = LineSensor(17)

line_value = sensor.value","Raspberry Pi Pico","from picozero import DigitalInputDevice

sensor = DigitalInputDevice(2)

line_seen = sensor.is_active","","","Use line_value or line_seen when your project needs to react to a line.","VCC -> 3V3 | OUT -> GPIO 17 | GND -> GND | VCC -> 3V3 | OUT -> GP2 | GND -> GND","","","https://github.com/raspberrypilearning/skills-bricks/blob/master/Line_Sensor-Pete/line-sensor-skill-brick.html"
"Raspberry Pi / Pico","Pete","Motor/Driver","Do, Move","A motor driver lets your code safely control a motor.
The driver handles the bigger motor power, while the computer sends small control signals.
Your projects can use motors to move wheels, fans, arms, signs, and tiny machines.","Robot wheel","Go command received","Path is clear","Drive motor forward","https://github.com/raspberrypilearning/skills-bricks/blob/master/Motor_Driver-Pete/images/robot-wheel.png","Tiny flag waver","Celebration starts","Victory is official","Wave flag wildly","https://github.com/raspberrypilearning/skills-bricks/blob/master/Motor_Driver-Pete/images/tiny-flag-waver.png","Control: Signal pins; Motor: Terminals; Power: Motor supply; Driver: Switches current","https://github.com/raspberrypilearning/skills-bricks/blob/master/Motor_Driver-Pete/images/component-motor-driver.png","Raspberry Pi","from gpiozero import Motor

motor = Motor(forward=17, backward=18)

motor.forward()","Raspberry Pi Pico","from picozero import Motor

motor = Motor(forward=2, backward=3)

motor.forward()","","","Use motor.forward() , motor.backward() , or motor.stop() after a Detect brick spots something.","IN1 -> GPIO 17 | IN2 -> GPIO 18 | motor power -> driver VM/GND | IN1 -> GP2 | IN2 -> GP3 | motor power -> driver VM/GND","","","https://github.com/raspberrypilearning/skills-bricks/blob/master/Motor_Driver-Pete/motor-driver-skill-brick.html"
"Raspberry Pi / Pico","Pete","NeoPixels","Do, Pixels","NeoPixels are colourful lights that can be controlled one by one from a single data wire.
Each pixel remembers its own colour, so a strip can become a sign, meter, clock, or rainbow trail.
Your projects can use NeoPixels for badges, reactions, animations, and unnecessary sparkle.","Progress bar","Task gets further","Progress level increased","Light more pixels","https://github.com/raspberrypilearning/skills-bricks/blob/master/NeoPixels-Pete/images/progress-bar.png","Disco shoelace meter","Magic level changes","Shoelace needs sparkle","Run rainbow wave","https://github.com/raspberrypilearning/skills-bricks/blob/master/NeoPixels-Pete/images/disco-shoelace-meter.png","DIN: Data in; 5V: Power; GND: Ground; Pixel: RGB LED","https://github.com/raspberrypilearning/skills-bricks/blob/master/NeoPixels-Pete/images/component-neopixel.png","Raspberry Pi","from rpi_ws281x import PixelStrip, Color

pixels = PixelStrip(8, 18)
pixels.begin()

pixels.setPixelColor(0, Color(255, 0, 80))
pixels.show()","Raspberry Pi Pico","from machine import Pin
from neopixel import NeoPixel

pixels = NeoPixel(Pin(2), 8)

pixels[0] = (255, 0, 80)
pixels.write()","","","Use pixels.setPixelColor() and pixels.show() on Raspberry Pi, or pixels[0] and pixels.write() on Pico.","DIN -> GPIO 18 | 5V -> external 5V | GND -> shared GND | DIN -> GP2 | VCC -> 3V3 or 5V strip supply | GND -> shared GND","","","https://github.com/raspberrypilearning/skills-bricks/blob/master/NeoPixels-Pete/neopixels-skill-brick.html"
